ts_code,name,industry,strategy_type,short_ma,long_ma,ma_combo,total_return,annualized_return,excess_return,max_drawdown,win_rate,pl_ratio,sharpe_ratio,trade_count,trading_days,years
600036.SH,招商银行,银行,短线,5,10,MA5/MA10,0.139079,0.030735,-0.053130,0.243635,0.436364,1.572614,0.144854,55,1084,4.301587
600036.SH,招商银行,银行,短线,5,20,MA5/MA20,-0.031294,-0.007432,-0.223503,0.267689,0.258065,2.827729,-0.067858,31,1074,4.261905
600036.SH,招商银行,银行,中线,10,20,MA10/MA20,-0.129534,-0.032026,-0.321743,0.328280,0.250000,2.375006,-0.217008,24,1074,4.261905
600036.SH,招商银行,银行,中线,20,30,MA20/MA30,-0.353284,-0.098078,-0.545493,0.388066,0.333333,0.878712,-0.648043,18,1064,4.222222
600036.SH,招商银行,银行,长线,20,60,MA20/MA60,-0.082564,-0.020783,-0.274773,0.202429,0.400000,1.069385,-0.230044,10,1034,4.103175
600036.SH,招商银行,银行,长线,30,60,MA30/MA60,-0.051548,-0.012815,-0.243756,0.165992,0.333333,1.593611,-0.178525,9,1034,4.103175
600036.SH,招商银行,银行,超长线,60,120,MA60/MA120,0.000580,0.000150,-0.191629,0.222125,0.666667,0.502062,-0.081896,3,974,3.865079
600036.SH,招商银行,银行,超长线,60,250,MA60/MA250,0.128619,0.036787,-0.063590,0.212340,0.500000,2.042895,0.180721,2,844,3.349206
601398.SH,工商银行,银行,短线,5,10,MA5/MA10,0.073419,0.016607,-0.118789,0.207523,0.358491,2.015248,0.044691,53,1084,4.301587
601398.SH,工商银行,银行,短线,5,20,MA5/MA20,0.083641,0.019026,-0.108568,0.194476,0.392857,1.904932,0.061523,28,1074,4.261905
601398.SH,工商银行,银行,中线,10,20,MA10/MA20,0.140097,0.031242,-0.052112,0.173773,0.464286,1.574690,0.147390,28,1074,4.261905
601398.SH,工商银行,银行,中线,20,30,MA20/MA30,0.180534,0.040091,-0.011675,0.158165,0.454545,1.809852,0.209691,22,1064,4.222222
601398.SH,工商银行,银行,长线,20,60,MA20/MA60,0.128896,0.029989,-0.063313,0.180237,0.444444,2.063809,0.138910,9,1034,4.103175
601398.SH,工商银行,银行,长线,30,60,MA30/MA60,0.381592,0.081963,0.189383,0.175565,0.333333,4.840317,0.469924,9,1034,4.103175
601398.SH,工商银行,银行,超长线,60,120,MA60/MA120,0.497743,0.110172,0.305534,0.180765,0.666667,8.403864,0.606709,3,974,3.865079
601398.SH,工商银行,银行,超长线,60,250,MA60/MA250,0.560048,0.142002,0.367839,0.167003,1.000000,999.000000,0.736545,1,844,3.349206
601288.SH,农业银行,银行,短线,5,10,MA5/MA10,0.590618,0.113932,0.398409,0.168953,0.421053,2.707622,0.708199,57,1084,4.301587
601288.SH,农业银行,银行,短线,5,20,MA5/MA20,0.246813,0.053122,0.054604,0.262116,0.424242,1.909079,0.280756,33,1074,4.261905
601288.SH,农业银行,银行,中线,10,20,MA10/MA20,0.096901,0.021938,-0.095308,0.303985,0.428571,1.601010,0.086209,28,1074,4.261905
601288.SH,农业银行,银行,中线,20,30,MA20/MA30,0.379646,0.079202,0.187437,0.239092,0.411765,2.540306,0.451304,17,1064,4.222222
601288.SH,农业银行,银行,长线,20,60,MA20/MA60,0.154524,0.035639,-0.037685,0.173939,0.571429,1.214351,0.184056,7,1034,4.103175
601288.SH,农业银行,银行,长线,30,60,MA30/MA60,0.659767,0.131432,0.467558,0.235284,0.500000,3.080005,0.713390,8,1034,4.103175
601288.SH,农业银行,银行,超长线,60,120,MA60/MA120,1.238763,0.231846,1.046554,0.231430,1.000000,999.000000,1.116829,2,974,3.865079
601288.SH,农业银行,银行,超长线,60,250,MA60/MA250,1.316383,0.285063,1.124174,0.254733,1.000000,999.000000,1.229675,1,844,3.349206
601939.SH,建设银行,银行,短线,5,10,MA5/MA10,0.265826,0.056329,0.073617,0.146037,0.410714,2.118971,0.309213,56,1084,4.301587
601939.SH,建设银行,银行,短线,5,20,MA5/MA20,0.007180,0.001680,-0.185029,0.271258,0.517241,0.950017,-0.045656,29,1074,4.261905
601939.SH,建设银行,银行,中线,10,20,MA10/MA20,-0.049557,-0.011855,-0.241766,0.246297,0.400000,1.310020,-0.154950,30,1074,4.261905
601939.SH,建设银行,银行,中线,20,30,MA20/MA30,-0.116261,-0.028848,-0.308470,0.282573,0.500000,0.732981,-0.265591,20,1064,4.222222
