strategy_type,industry,avg_sharpe,avg_return,avg_drawdown,avg_win_rate,sample_count
长线,游戏,0.9756,2.2852,0.4689,0.3333,2
超长线,游戏,0.8529,1.7043,0.5165,0.6250,2
短线,游戏,0.8153,1.9426,0.3978,0.3685,2
长线,铜,0.7902,1.4414,0.3898,0.4833,2
超长线,黄金矿业,0.7726,1.1968,0.3647,0.9000,2
长线,黄金矿业,0.6940,1.0166,0.3288,0.4167,2
短线,半导体,0.6834,0.5935,0.4695,0.3958,6
中线,互联网,0.6830,1.8192,0.5863,0.3968,2
中线,电子制造,0.6431,1.1217,0.3567,0.4496,2
超长线,铜,0.6313,0.8706,0.4139,0.3667,2
长线,半导体设备,0.5988,0.8591,0.3260,0.5000,2
中线,游戏,0.5866,1.1263,0.3661,0.4265,2
长线,互联网券商,0.5499,0.8152,0.3072,0.4286,2
短线,半导体制造,0.5306,1.0206,0.3767,0.3651,2
超长线,半导体设备,0.5304,0.6440,0.3061,0.5833,2
超长线,半导体制造,0.5106,0.6790,0.4713,0.2500,2
中线,半导体,0.5100,0.4287,0.5370,0.3571,6
中线,热管理,0.5030,1.0822,0.4614,0.3599,2
中线,黄金矿业,0.5010,0.6780,0.3806,0.3833,2
超长线,互联网,0.4834,0.8137,0.6426,0.4167,2
长线,互联网,0.4806,0.7599,0.5755,0.4365,2
中线,半导体制造,0.4772,0.7279,0.3740,0.3544,2
超长线,钴镍,0.4646,0.5092,0.3637,0.7500,2
中线,AI语音,0.4517,0.6517,0.3965,0.4579,2
长线,半导体制造,0.4400,0.6021,0.3479,0.4722,2
短线,石油,0.4288,0.5049,0.2677,0.4082,2
中线,化学制药,0.4210,0.4961,0.2497,0.5300,2
长线,半导体,0.4023,0.0345,0.4442,0.3796,6
超长线,核电,0.3877,0.3085,0.2521,1.0000,4
中线,光伏逆变器,0.3846,0.4969,0.5307,0.2982,2
超长线,石油,0.3758,0.3697,0.3437,0.6250,2
短线,光伏逆变器,0.3659,0.5938,0.6044,0.3306,2
超长线,银行,0.3616,0.3816,0.2203,0.6604,16
中线,工业自动化,0.3585,0.4147,0.3030,0.4333,2
长线,啤酒,0.3568,0.4078,0.2671,0.5000,2
中线,通信设备,0.3567,0.4569,0.3745,0.4626,2
中线,锂矿,0.3371,0.4015,0.5971,0.3622,4
短线,热管理,0.3214,0.3638,0.4114,0.3092,2
短线,黄金矿业,0.3130,0.3670,0.3207,0.3987,2
超长线,通信运营,0.3064,0.3484,0.2663,0.8750,4
长线,石油,0.3032,0.3031,0.3286,0.4000,2
中线,铜,0.3016,0.3308,0.4367,0.4143,2
